image,label,super_label
images/9/803f7f846ec53568.jpg,49512,9
images/9/805f27a3bb4896a7.jpg,14532,9
images/76/807f1ac0973d3de2.jpg,60569,76
images/44/807f2da4363a8fc5.jpg,5002,44
images/6/8084fead05cb5d7a.jpg,43451,6
images/90/80957feb10563b69.jpg,38194,90
images/7/80989571cdb5db74.jpg,60550,7
images/7/809c7baa55ada556.jpg,33045,7
images/4/80ac7cd55bcb8572.jpg,11851,4
images/6/80b35fc1fc0f315c.jpg,4669,6
images/6/80b917d705faee05.jpg,44866,6
images/5/80bed964996e954b.jpg,51717,5
images/6/80bf9bacb9628ab4.jpg,12840,6
images/5/80c73ee17f3c0be0.jpg,53100,5
images/5/80c83d9756b86bce.jpg,43539,5
images/75/80c8f7c1341f89bf.jpg,30375,75
images/6/80d839b4d64baeb6.jpg,11666,6
images/20/80d91d949e6f52b5.jpg,22938,20
images/88/80e031ccdb366bbd.jpg,42099,88
images/5/80e7cf3684e496bc.jpg,13249,5
images/68/80f08b7c73d38ecc.jpg,54735,68
images/5/80fd6f803f7a09a6.jpg,43413,5
images/86/80fe83c0f0bf3f60.jpg,1676,86
images/7/811194965dbdae6e.jpg,58902,7
images/3/8124da89bd5acb9d.jpg,61103,3
images/54/81337cac6e635353.jpg,48047,54
images/4/813d5588cfc3c373.jpg,13396,4
images/6/81593ce287b8794f.jpg,42823,6
images/76/815f2492f7704ddc.jpg,58257,76
images/6/81643e87d10d3bb7.jpg,20808,6
images/86/816878df3ae117e8.jpg,54224,86
images/87/817ad4a9dad4aa69.jpg,37984,87
images/1/817b608f1fd1436e.jpg,34835,1
images/81/818ea7b09b69b693.jpg,62395,81
images/3/8190666d32ce3be7.jpg,40790,3
images/88/819d98a3b44fa9b5.jpg,23515,88
images/68/81a4f2d26e41bcf3.jpg,54735,68
images/6/81a9d85aac695d57.jpg,23396,6
images/71/81ad3ee0cb9c392e.jpg,25925,71
images/4/81af6ad2e4ae1c9c.jpg,54906,4
images/85/81b054abad556abe.jpg,24628,85
images/6/81b0fe64f5c9b264.jpg,29437,6
images/6/81b57cd5384b9b83.jpg,61940,6
images/76/81b96acad6b2395c.jpg,58257,76
images/68/81c17e9c9ce3339c.jpg,54735,68
images/6/81c43e718e6ad9d6.jpg,1065,6
images/6/81c796399f666193.jpg,1192,6
